,Date de fin totale (j),Nombre de commandes traitées,Retard total (j),Borne inferieure (j),Nombre de setups effectués,Temps de setup total (h),Nombre de maintenances,Retard Moyenne par commande (j),Nb commandes en retard,Retard maximum (j),Cmax (j),GAP (%)
EDD,2025-10-26 05:29:00.648352,1002,9199.48,206.22,151,1812,3,15.86,580,80.58,292.23,41.7
Batching-EDD-1L,2025-10-08 09:56:28.432572,1002,8261.43,206.22,33,396,3,44.9,184,190.05,274.41,33.1
Batching-EDD-2PL (α=0.5),2025-10-02 20:02:11.490417,1002,1914.3,186.0,132,1584,6,18.77,102,105.44,268.83,44.5
